S_junc_w,S_perc,V_active_size,comp_size,t,Fmax_0.10,Fmax_0.20,Fmax_0.30,comp_frac
4.966743791158381,0.9834254143646409,181,178,2852,1.0,0.375,0.125,0.9834254143646409
5.2884880182720755,0.98125,160,157,2908,1.0,0.375,0.125,0.98125
5.105469140475218,0.9695121951219512,164,159,2964,1.0,0.25,0.125,0.9695121951219512
5.174629071371937,1.0,182,182,3020,1.0,0.25,0.125,1.0
4.9290683338873755,0.9827586206896551,174,171,3076,1.0,0.375,0.125,0.9827586206896551
4.817085290317913,0.9759036144578314,166,162,3132,1.0,0.25,0.125,0.9759036144578314
5.158430236176799,0.9798657718120806,149,146,3188,1.0,0.75,0.125,0.9798657718120806
5.686158493865263,0.9751552795031055,161,157,3244,1.0,0.5,0.125,0.9751552795031055
5.477227850202466,0.9876543209876543,162,160,3300,1.0,1.0,0.125,0.9876543209876543
5.302991794969337,0.9620253164556962,158,152,3356,1.0,0.375,0.125,0.9620253164556962
5.253793605295455,1.0,150,150,3412,1.0,0.875,0.125,1.0
4.717616998906855,0.9555555555555556,180,172,3468,1.0,0.375,0.125,0.9555555555555556
4.364200825739806,0.9572192513368984,187,179,3524,1.0,0.375,0.125,0.9572192513368984
4.59750228281926,0.9647058823529412,170,164,3580,1.0,0.25,0.125,0.9647058823529412
4.490791851622802,0.9666666666666667,180,174,3636,1.0,0.25,0.125,0.9666666666666667
4.806149728166252,0.9621621621621622,185,178,3692,1.0,0.5,0.125,0.9621621621621622
5.007015769698635,0.9878048780487805,164,162,3748,1.0,0.375,0.125,0.9878048780487805
5.363188547666642,0.9875776397515528,161,159,3804,1.0,0.375,0.125,0.9875776397515528
5.552432111383343,0.9764705882352941,170,166,3860,1.0,1.0,0.25,0.9764705882352941
5.5959200376085905,0.967741935483871,155,150,3916,1.0,0.875,0.125,0.967741935483871
5.47808185795892,0.9815950920245399,163,160,3972,1.0,0.375,0.125,0.9815950920245399
4.599369282262204,0.9736842105263158,190,185,4028,1.0,0.5,0.125,0.9736842105263158
4.352638297802378,0.9792746113989638,193,189,4084,1.0,0.375,0.125,0.9792746113989638
4.201414935280618,0.9206349206349206,189,174,4140,1.0,0.25,0.125,0.9206349206349206
5.6685671725100155,0.9938650306748467,163,162,4196,1.0,0.625,0.125,0.9938650306748467
5.121555213539328,0.9685534591194969,159,154,4252,1.0,0.5,0.125,0.9685534591194969
