t,S_perc_med,S_perc_q1,S_perc_q3,Fmax020_med,Fmax020_q1,Fmax020_q3,comp_size_med,comp_size_q1,comp_size_q3,n_seeds
500,0.9871794871794872,0.976878612716763,0.9876543209876543,0.375,0.25,0.375,162.0,160.0,164.0,5
556,0.9941860465116279,0.9651162790697675,0.9943181818181818,0.25,0.25,0.25,171.0,166.0,175.0,5
612,0.9781420765027322,0.9767441860465116,0.9873417721518988,0.375,0.375,0.5,168.0,161.0,169.0,5
668,0.9757575757575757,0.9642857142857143,0.9869281045751634,0.25,0.25,0.625,161.0,158.0,162.0,5
724,0.976878612716763,0.9705882352941176,0.9801324503311258,0.625,0.375,0.625,168.0,165.0,169.0,5
780,0.9715909090909091,0.9702380952380952,0.9878787878787879,0.375,0.375,0.5,169.0,163.0,171.0,5
836,0.9712643678160919,0.9629629629629629,0.9761904761904762,0.375,0.375,0.375,166.0,164.0,169.0,5
892,0.9828571428571429,0.9719101123595506,0.9840425531914894,0.25,0.25,0.25,172.0,168.0,173.0,5
948,0.9666666666666667,0.9659090909090909,0.9814814814814815,0.5,0.375,0.625,161.0,159.0,164.0,5
1004,0.9831460674157303,0.974025974025974,0.9872611464968153,0.5,0.375,1.0,155.0,150.0,161.0,5
1060,0.9727891156462585,0.9685534591194969,0.9830508474576272,0.5,0.5,1.0,158.0,154.0,174.0,5
1116,0.9767441860465116,0.9746835443037974,0.9825581395348837,0.875,0.625,0.875,168.0,166.0,169.0,5
1172,0.9830508474576272,0.9759036144578314,0.9872611464968153,0.375,0.375,0.625,162.0,158.0,166.0,5
1228,0.9644970414201184,0.9622641509433962,0.9794520547945206,0.5,0.375,0.5,153.0,152.0,163.0,5
1284,0.9736842105263158,0.9700598802395209,0.9837837837837838,0.375,0.375,0.5,154.0,153.0,162.0,5
1340,0.9814814814814815,0.9754601226993865,0.9817073170731707,0.75,0.5,0.875,159.0,159.0,161.0,5
1396,0.98125,0.9751552795031055,0.9939393939393939,0.625,0.625,0.75,162.0,157.0,164.0,5
1452,0.9859154929577465,0.9815950920245399,0.994413407821229,0.75,0.5,1.0,165.0,160.0,178.0,5
1508,0.9675675675675676,0.9629629629629629,0.9823529411764705,0.5,0.25,0.625,167.0,156.0,179.0,5
1564,0.9886363636363636,0.9698795180722891,0.9886363636363636,0.375,0.25,0.375,174.0,168.0,174.0,5
1620,0.9763313609467456,0.9754601226993865,0.9807692307692307,0.5,0.375,0.875,159.0,153.0,161.0,5
1676,0.9754601226993865,0.9700598802395209,0.9761904761904762,0.5,0.25,0.5,162.0,159.0,164.0,5
1732,0.9759036144578314,0.9644970414201184,0.9831460674157303,0.5,0.375,0.5,166.0,163.0,175.0,5
1788,0.968944099378882,0.9662921348314607,0.9820359281437125,0.375,0.25,0.5,166.0,164.0,172.0,5
