t,S_perc_med,S_perc_q1,S_perc_q3,Fmax020_med,Fmax020_q1,Fmax020_q3,comp_size_med,comp_size_q1,comp_size_q3,n_seeds
1844,0.9819277108433735,0.9817073170731707,0.9831460674157303,0.25,0.25,0.375,173.0,163.0,175.0,5
1900,0.9887005649717514,0.9764705882352941,0.9939024390243902,0.375,0.25,0.375,166.0,163.0,168.0,5
1956,0.98125,0.9681528662420382,0.9880239520958084,0.5,0.375,1.0,165.0,157.0,168.0,5
2012,0.9876543209876543,0.9779005524861878,0.9941520467836257,0.375,0.375,0.625,165.0,160.0,170.0,5
2068,0.9733333333333334,0.9652777777777778,0.9813664596273292,0.625,0.25,1.0,158.0,146.0,170.0,5
2124,0.9774011299435028,0.9738562091503268,0.9891304347826086,0.75,0.75,0.75,153.0,149.0,173.0,5
2180,0.9753086419753086,0.9651162790697675,0.9829545454545454,0.625,0.25,0.75,166.0,166.0,173.0,5
2236,0.9783783783783784,0.9675675675675676,0.9939024390243902,0.5,0.375,0.625,179.0,177.0,181.0,5
2292,0.9664429530201343,0.9659090909090909,0.978494623655914,0.5,0.375,0.625,161.0,149.0,170.0,5
2348,0.9764705882352941,0.9553072625698324,0.9793103448275862,0.5,0.375,0.625,155.0,152.0,166.0,5
2404,0.9757575757575757,0.967032967032967,0.9821428571428571,0.75,0.375,0.75,161.0,154.0,165.0,5
2460,0.9878787878787879,0.9822485207100592,0.9941520467836257,0.625,0.375,0.625,166.0,165.0,168.0,5
2516,0.9753086419753086,0.9702380952380952,0.9875,0.375,0.375,0.5,158.0,158.0,163.0,5
2572,0.9826589595375722,0.9806451612903225,0.9935064935064936,0.625,0.5,0.75,156.0,153.0,159.0,5
2628,0.9761904761904762,0.9615384615384616,0.994535519125683,0.875,0.75,0.875,164.0,161.0,182.0,5
2684,0.9789473684210527,0.9661016949152542,0.9826589595375722,0.375,0.375,0.5,171.0,170.0,186.0,5
2740,0.9767441860465116,0.9753086419753086,0.9803921568627451,0.375,0.25,0.625,168.0,158.0,178.0,5
2796,0.9741935483870968,0.9672131147540983,0.98,0.5,0.25,0.875,151.0,147.0,177.0,5
2852,0.9754601226993865,0.9748427672955975,0.975609756097561,0.5,0.375,0.75,159.0,155.0,160.0,5
2908,0.9846153846153847,0.9753086419753086,0.9873417721518988,0.375,0.25,0.375,158.0,156.0,177.0,5
2964,0.9786096256684492,0.9691358024691358,0.9798657718120806,0.375,0.25,0.375,167.0,157.0,183.0,5
3020,0.9666666666666667,0.9640718562874252,0.9693251533742331,0.5,0.25,0.75,161.0,158.0,182.0,5
3076,0.978021978021978,0.965,0.9825581395348837,0.375,0.375,0.375,178.0,169.0,181.0,5
3132,0.9642857142857143,0.9617834394904459,0.9836956521739131,0.25,0.25,0.75,151.0,143.0,162.0,5
3188,0.9791666666666666,0.9791666666666666,0.9805194805194806,0.875,0.75,0.875,141.0,141.0,151.0,5
3244,0.984375,0.9696969696969697,0.9857142857142858,0.375,0.375,0.875,159.0,150.0,160.0,5
3300,0.9873417721518988,0.9774011299435028,0.9896373056994818,0.5,0.25,0.75,166.0,165.0,173.0,5
3356,0.9872611464968153,0.9761904761904762,0.9880952380952381,0.5,0.375,0.75,166.0,164.0,170.0,5
3412,0.9774011299435028,0.9705882352941176,0.9775280898876404,0.25,0.25,0.375,170.0,165.0,173.0,5
3468,0.9821428571428571,0.9817073170731707,0.9826589595375722,0.375,0.25,0.5,161.0,160.0,165.0,5
3524,0.9705882352941176,0.9578313253012049,0.9781420765027322,0.375,0.375,0.5,161.0,159.0,165.0,5
3580,0.9704142011834319,0.9631901840490797,0.9738219895287958,0.625,0.25,0.625,164.0,157.0,165.0,5
3636,0.9719101123595506,0.959731543624161,0.9754601226993865,0.5,0.25,0.625,159.0,144.0,173.0,5
3692,0.975609756097561,0.9668874172185431,0.9828571428571429,0.625,0.5,0.75,160.0,146.0,172.0,5
3748,0.9766081871345029,0.9751552795031055,0.98125,0.625,0.625,0.875,157.0,157.0,165.0,5
3804,0.9722222222222222,0.9657142857142857,0.9819277108433735,0.75,0.375,1.0,165.0,163.0,169.0,5
3860,0.9940119760479041,0.9938271604938271,0.9941520467836257,0.5,0.5,0.625,170.0,166.0,174.0,5
3916,0.9808917197452229,0.9748427672955975,0.9897435897435898,0.75,0.5,0.75,155.0,154.0,163.0,5
3972,0.9662162162162162,0.9634146341463414,0.9870967741935484,0.5,0.25,0.875,158.0,153.0,160.0,5
4028,0.989010989010989,0.9775280898876404,0.9933774834437086,0.375,0.375,0.75,162.0,159.0,174.0,5
4084,0.9775280898876404,0.9532163742690059,0.9818181818181818,0.625,0.625,0.625,163.0,162.0,169.0,5
4140,0.9710982658959537,0.9644970414201184,0.988950276243094,0.625,0.375,0.75,168.0,163.0,169.0,5
4196,0.9817073170731707,0.9754601226993865,0.9880952380952381,0.375,0.375,0.5,161.0,159.0,164.0,5
4252,0.9882352941176471,0.9874213836477987,0.9939393939393939,0.5,0.375,0.75,164.0,157.0,164.0,5
4308,0.9763313609467456,0.9709302325581395,0.9766081871345029,0.75,0.5,0.875,165.0,165.0,167.0,5
4364,0.9776536312849162,0.9695121951219512,0.9833333333333333,0.5,0.5,0.875,161.0,159.0,175.0,5
4420,0.9668874172185431,0.9653179190751445,0.9766081871345029,0.625,0.5,0.625,160.0,158.0,167.0,5
4476,0.9699248120300752,0.9668508287292817,0.971830985915493,0.625,0.625,0.75,159.0,138.0,164.0,5
4532,0.9726775956284153,0.9659090909090909,0.9815950920245399,0.75,0.25,0.75,160.0,157.0,170.0,5
4588,0.9880239520958084,0.9836956521739131,0.9887640449438202,0.375,0.375,0.75,169.0,168.0,176.0,5
4644,0.9712643678160919,0.9700598802395209,0.9741935483870968,0.375,0.375,0.375,162.0,157.0,164.0,5
4700,0.9820359281437125,0.9764705882352941,0.9885714285714285,0.375,0.375,0.625,164.0,163.0,166.0,5
4756,0.9714285714285714,0.9705882352941176,0.978021978021978,0.5,0.25,0.625,165.0,157.0,170.0,5
4812,0.9698795180722891,0.9657142857142857,0.9725274725274725,0.375,0.375,0.375,169.0,161.0,172.0,5
4868,0.9834254143646409,0.9772727272727273,0.9880952380952381,0.25,0.25,0.875,172.0,166.0,178.0,5
4924,0.9821428571428571,0.9702380952380952,0.9879518072289156,0.375,0.25,0.375,164.0,163.0,165.0,5
4980,0.9764705882352941,0.9627329192546584,0.989247311827957,0.375,0.375,0.625,166.0,155.0,181.0,5
