t,S_perc_med,S_perc_q1,S_perc_q3,Fmax020_med,Fmax020_q1,Fmax020_q3,comp_size_med,comp_size_q1,comp_size_q3,n_seeds
2236,0.9868421052631579,0.967741935483871,0.9888888888888889,1.0,1.0,1.0,89.0,83.0,90.0,5
2292,0.9787234042553191,0.974025974025974,0.9895833333333334,1.0,1.0,1.0,92.0,75.0,95.0,5
2348,0.974025974025974,0.9690721649484536,0.9893617021276596,1.0,1.0,1.0,89.0,88.0,93.0,5
2404,0.9607843137254902,0.9466666666666667,0.9753086419753086,1.0,1.0,1.0,79.0,79.0,83.0,5
2460,0.9861111111111112,0.945054945054945,0.9887640449438202,1.0,1.0,1.0,86.0,76.0,88.0,5
2516,0.9659090909090909,0.9555555555555556,0.9753086419753086,1.0,1.0,1.0,85.0,84.0,86.0,5
2572,0.9594594594594594,0.95,0.975,1.0,1.0,1.0,78.0,71.0,93.0,5
2628,0.9777777777777777,0.9733333333333334,0.9886363636363636,1.0,1.0,1.0,84.0,74.0,87.0,5
2684,0.978021978021978,0.9726027397260274,0.9883720930232558,1.0,1.0,1.0,87.0,85.0,89.0,5
2740,0.9880952380952381,0.9753086419753086,1.0,1.0,1.0,1.0,81.0,79.0,83.0,5
2796,0.975,0.9696969696969697,0.987012987012987,1.0,1.0,1.0,80.0,78.0,85.0,5
2852,0.9882352941176471,0.9659090909090909,0.9887640449438202,1.0,1.0,1.0,88.0,85.0,93.0,5
2908,0.9591836734693877,0.9574468085106383,0.9680851063829787,1.0,1.0,1.0,90.0,85.0,91.0,5
2964,0.9605263157894737,0.9591836734693877,0.967741935483871,1.0,1.0,1.0,86.0,81.0,90.0,5
3020,0.9759036144578314,0.9746835443037974,0.9777777777777777,1.0,1.0,1.0,88.0,81.0,90.0,5
3076,0.9896907216494846,0.9767441860465116,1.0,1.0,1.0,1.0,85.0,84.0,87.0,5
3132,0.9797979797979798,0.9565217391304348,0.9864864864864865,1.0,1.0,1.0,81.0,75.0,88.0,5
3188,1.0,0.9746835443037974,1.0,1.0,1.0,1.0,85.0,78.0,88.0,5
3244,0.9722222222222222,0.9666666666666667,0.9880952380952381,1.0,1.0,1.0,83.0,76.0,87.0,5
3300,0.9743589743589743,0.927710843373494,0.9882352941176471,1.0,1.0,1.0,77.0,76.0,80.0,5
3356,0.987012987012987,0.9594594594594594,1.0,1.0,1.0,1.0,78.0,76.0,80.0,5
3412,0.9868421052631579,0.9797979797979798,0.9885057471264368,1.0,1.0,1.0,84.0,80.0,86.0,5
3468,0.9772727272727273,0.9743589743589743,0.9888888888888889,1.0,1.0,1.0,86.0,81.0,89.0,5
3524,0.9696969696969697,0.967032967032967,0.9871794871794872,1.0,1.0,1.0,88.0,88.0,89.0,5
3580,0.9887640449438202,0.9886363636363636,0.9894736842105263,1.0,1.0,1.0,94.0,88.0,100.0,5
3636,0.967741935483871,0.9587628865979382,0.9900990099009901,1.0,1.0,1.0,90.0,87.0,93.0,5
3692,0.9900990099009901,0.9873417721518988,1.0,1.0,1.0,1.0,87.0,78.0,94.0,5
3748,0.9803921568627451,0.9753086419753086,0.9886363636363636,1.0,1.0,1.0,83.0,79.0,87.0,5
3804,0.978021978021978,0.9767441860465116,0.9878048780487805,1.0,1.0,1.0,81.0,77.0,84.0,5
3860,0.9538461538461539,0.95,0.9772727272727273,1.0,1.0,1.0,76.0,70.0,80.0,5
3916,0.9772727272727273,0.9772727272727273,0.9886363636363636,1.0,1.0,1.0,86.0,80.0,86.0,5
3972,0.9782608695652174,0.9775280898876404,1.0,1.0,1.0,1.0,87.0,85.0,90.0,5
4028,0.9696969696969697,0.9550561797752809,0.978494623655914,1.0,1.0,1.0,86.0,85.0,91.0,5
4084,0.987012987012987,0.9555555555555556,1.0,1.0,1.0,1.0,76.0,72.0,86.0,5
4140,0.9690721649484536,0.967032967032967,0.971830985915493,1.0,1.0,1.0,83.0,72.0,88.0,5
4196,0.989010989010989,0.9883720930232558,0.989247311827957,1.0,1.0,1.0,89.0,85.0,90.0,5
4252,0.9767441860465116,0.9662921348314607,0.9878048780487805,1.0,1.0,1.0,84.0,81.0,85.0,5
4308,0.9759036144578314,0.9574468085106383,0.9772727272727273,1.0,1.0,1.0,86.0,83.0,86.0,5
4364,0.9782608695652174,0.9772727272727273,0.9797979797979798,1.0,1.0,1.0,90.0,86.0,94.0,5
4420,0.968421052631579,0.9431818181818182,0.9807692307692307,1.0,1.0,1.0,86.0,83.0,92.0,5
4476,0.9883720930232558,0.9761904761904762,0.9885057471264368,1.0,1.0,1.0,86.0,85.0,88.0,5
4532,0.9655172413793104,0.9629629629629629,0.9879518072289156,1.0,1.0,1.0,82.0,78.0,84.0,5
4588,0.967741935483871,0.9642857142857143,0.9787234042553191,1.0,1.0,1.0,81.0,80.0,90.0,5
4644,0.9759036144578314,0.9647058823529412,0.9866666666666667,1.0,1.0,1.0,81.0,77.0,82.0,5
4700,0.987012987012987,0.9615384615384616,1.0,1.0,1.0,1.0,82.0,76.0,85.0,5
4756,0.9767441860465116,0.9605263157894737,0.9772727272727273,1.0,1.0,1.0,84.0,73.0,86.0,5
4812,0.9879518072289156,0.9772727272727273,1.0,1.0,1.0,1.0,86.0,82.0,89.0,5
4868,0.9891304347826086,0.9876543209876543,1.0,1.0,1.0,1.0,84.0,81.0,91.0,5
4924,0.9901960784313726,0.9868421052631579,1.0,1.0,1.0,1.0,84.0,83.0,84.0,5
4980,0.967391304347826,0.963855421686747,0.9767441860465116,1.0,1.0,1.0,84.0,80.0,89.0,5
