t,S_perc_med,S_perc_q1,S_perc_q3,Fmax020_med,Fmax020_q1,Fmax020_q3,comp_size_med,comp_size_q1,comp_size_q3,n_seeds
500,0.9777777777777777,0.96875,1.0,1.0,1.0,1.0,88.0,85.0,89.0,5
556,0.9891304347826086,0.9871794871794872,0.9900990099009901,1.0,1.0,1.0,91.0,84.0,91.0,5
612,0.9764705882352941,0.9666666666666667,0.9887640449438202,1.0,1.0,1.0,87.0,83.0,88.0,5
668,0.979381443298969,0.9759036144578314,0.9803921568627451,1.0,1.0,1.0,81.0,76.0,95.0,5
724,0.9761904761904762,0.9647058823529412,0.9878048780487805,1.0,1.0,1.0,82.0,81.0,82.0,5
780,0.9772727272727273,0.9659090909090909,0.9895833333333334,1.0,1.0,1.0,85.0,85.0,86.0,5
836,0.9733333333333334,0.97,0.9746835443037974,1.0,1.0,1.0,77.0,73.0,84.0,5
892,0.9864864864864865,0.98,0.9876543209876543,1.0,1.0,1.0,80.0,79.0,90.0,5
948,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,84.0,83.0,89.0,5
1004,0.9746835443037974,0.9696969696969697,0.9879518072289156,1.0,1.0,1.0,84.0,82.0,94.0,5
1060,0.9795918367346939,0.975609756097561,0.9885057471264368,1.0,1.0,1.0,86.0,80.0,89.0,5
1116,0.9861111111111112,0.9791666666666666,1.0,1.0,1.0,1.0,88.0,74.0,89.0,5
1172,0.9782608695652174,0.9770114942528736,0.9883720930232558,1.0,1.0,1.0,85.0,83.0,85.0,5
1228,0.9782608695652174,0.9770114942528736,0.9791666666666666,1.0,1.0,1.0,86.0,85.0,90.0,5
1284,0.9893617021276596,0.9875,1.0,1.0,1.0,1.0,79.0,79.0,80.0,5
1340,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,80.0,77.0,82.0,5
1396,0.9777777777777777,0.9770114942528736,0.9791666666666666,1.0,1.0,1.0,85.0,78.0,88.0,5
1452,0.9873417721518988,0.9797979797979798,0.9873417721518988,1.0,1.0,1.0,89.0,78.0,97.0,5
1508,0.9873417721518988,0.9866666666666667,0.9880952380952381,1.0,1.0,1.0,83.0,78.0,85.0,5
1564,0.9777777777777777,0.9759036144578314,0.9873417721518988,1.0,1.0,1.0,81.0,79.0,88.0,5
1620,0.9876543209876543,0.9560439560439561,0.9886363636363636,1.0,1.0,1.0,87.0,80.0,87.0,5
1676,0.9777777777777777,0.9647058823529412,0.978494623655914,1.0,1.0,1.0,84.0,82.0,88.0,5
1732,0.9634146341463414,0.9565217391304348,0.975,1.0,1.0,1.0,78.0,74.0,79.0,5
1788,0.967391304347826,0.9634146341463414,0.9850746268656716,1.0,1.0,1.0,79.0,78.0,89.0,5
1844,0.961038961038961,0.9603960396039604,0.9647058823529412,1.0,1.0,1.0,90.0,82.0,94.0,5
1900,0.9770114942528736,0.9560439560439561,0.9777777777777777,1.0,1.0,1.0,85.0,85.0,87.0,5
1956,0.9761904761904762,0.9722222222222222,0.9797979797979798,1.0,1.0,1.0,82.0,81.0,85.0,5
2012,0.9879518072289156,0.9878048780487805,0.9886363636363636,1.0,1.0,1.0,82.0,81.0,87.0,5
2068,0.9772727272727273,0.967391304347826,0.9777777777777777,1.0,1.0,1.0,89.0,88.0,94.0,5
2124,0.9659090909090909,0.9534883720930233,0.9871794871794872,1.0,1.0,1.0,84.0,82.0,85.0,5
2180,0.9882352941176471,0.961038961038961,1.0,1.0,1.0,1.0,86.0,84.0,86.0,5
