t,S_perc_med,S_perc_q1,S_perc_q3,Fmax020_med,Fmax020_q1,Fmax020_q3,comp_size_med,comp_size_q1,comp_size_q3,n_seeds
3020,0.9057377049180327,0.8521400778210116,0.9094650205761317,0.25,0.25,0.25,221.0,219.0,221.0,5
3076,0.8577235772357723,0.8547717842323651,0.8875,0.25,0.25,0.25,211.0,206.0,213.0,5
3132,0.9469387755102041,0.8862745098039215,0.9606299212598425,0.25,0.25,0.25,232.0,226.0,244.0,5
3188,0.9011406844106464,0.8244897959183674,0.9033613445378151,0.25,0.25,0.25,215.0,203.0,237.0,5
3244,0.8789237668161435,0.8559670781893004,0.900398406374502,0.25,0.25,0.25,208.0,204.0,226.0,5
3300,0.8770491803278688,0.8716814159292036,0.9007936507936508,0.25,0.25,0.25,214.0,213.0,227.0,5
3356,0.9043824701195219,0.9020408163265307,0.9079497907949791,0.25,0.25,0.25,221.0,217.0,227.0,5
3412,0.8911290322580645,0.8821138211382114,0.8988326848249028,0.25,0.25,0.25,217.0,215.0,221.0,5
3468,0.8617886178861789,0.8613445378151261,0.890295358649789,0.25,0.25,0.25,207.0,206.0,211.0,5
3524,0.8693877551020408,0.8680851063829788,0.8979591836734694,0.25,0.25,0.25,213.0,204.0,216.0,5
3580,0.8930041152263375,0.8849206349206349,0.9395161290322581,0.25,0.25,0.25,223.0,217.0,233.0,5
3636,0.8675213675213675,0.852589641434263,0.879245283018868,0.25,0.25,0.25,214.0,203.0,225.0,5
3692,0.8991228070175439,0.875,0.9053030303030303,0.25,0.25,0.25,227.0,219.0,231.0,5
3748,0.8780487804878049,0.856,0.8879668049792531,0.25,0.25,0.25,214.0,214.0,216.0,5
3804,0.8791666666666667,0.8697478991596639,0.9090909090909091,0.25,0.25,0.25,211.0,208.0,217.0,5
3860,0.8612244897959184,0.841897233201581,0.9035087719298246,0.25,0.25,0.25,211.0,206.0,213.0,5
3916,0.9263565891472868,0.8847736625514403,0.9317269076305221,0.25,0.25,0.25,223.0,216.0,232.0,5
3972,0.8879668049792531,0.8547717842323651,0.8949416342412452,0.25,0.25,0.25,214.0,206.0,230.0,5
4028,0.8471074380165289,0.8454935622317596,0.8879668049792531,0.25,0.25,0.25,205.0,202.0,214.0,5
4084,0.8605577689243028,0.8455284552845529,0.8704453441295547,0.25,0.25,0.25,215.0,208.0,216.0,5
4140,0.8893280632411067,0.8774703557312253,0.8955823293172691,0.25,0.25,0.25,222.0,222.0,223.0,5
4196,0.9049586776859504,0.8983739837398373,0.9453125,0.25,0.25,0.25,221.0,219.0,240.0,5
4252,0.9,0.868421052631579,0.9020408163265307,0.25,0.25,0.25,221.0,220.0,225.0,5
4308,0.8958333333333334,0.8552631578947368,0.9283018867924528,0.25,0.25,0.25,215.0,205.0,222.0,5
4364,0.9271255060728745,0.8991228070175439,0.9482758620689655,0.25,0.25,0.25,220.0,207.0,229.0,5
4420,0.8907563025210085,0.8706896551724138,0.9456066945606695,0.25,0.25,0.25,212.0,202.0,226.0,5
4476,0.8818897637795275,0.8798283261802575,0.8937007874015748,0.25,0.25,0.25,205.0,197.0,224.0,5
4532,0.9095022624434389,0.90625,0.9183673469387755,0.25,0.25,0.25,220.0,203.0,223.0,5
4588,0.9031007751937985,0.9020408163265307,0.9071729957805907,0.25,0.25,0.25,215.0,213.0,221.0,5
4644,0.9169960474308301,0.8713692946058091,0.926530612244898,0.25,0.25,0.25,226.0,223.0,227.0,5
4700,0.8725099601593626,0.8663967611336032,0.9193548387096774,0.25,0.25,0.25,219.0,214.0,228.0,5
4756,0.89453125,0.8347826086956521,0.912,0.25,0.25,0.25,213.0,209.0,228.0,5
4812,0.8784313725490196,0.8535564853556485,0.8830645161290323,0.25,0.25,0.25,206.0,205.0,219.0,5
4868,0.8739837398373984,0.8646288209606987,0.9084249084249084,0.25,0.25,0.25,215.0,198.0,223.0,5
4924,0.9071729957805907,0.8786610878661087,0.9395161290322581,0.25,0.25,0.25,221.0,215.0,222.0,5
4980,0.9214876033057852,0.875,0.9352226720647774,0.25,0.25,0.25,223.0,204.0,231.0,5
