t,S_perc_med,S_perc_q1,S_perc_q3,Fmax020_med,Fmax020_q1,Fmax020_q3,comp_size_med,comp_size_q1,comp_size_q3,n_seeds
500,0.9173913043478261,0.8571428571428571,0.9245283018867925,0.25,0.25,0.25,211.0,203.0,245.0,5
556,0.9243697478991597,0.8953488372093024,0.9384615384615385,0.25,0.25,0.25,223.0,220.0,231.0,5
612,0.9262295081967213,0.8811475409836066,0.9437751004016064,0.25,0.25,0.25,226.0,215.0,235.0,5
668,0.9132231404958677,0.8991596638655462,0.9166666666666666,0.25,0.25,0.25,221.0,220.0,226.0,5
724,0.8966789667896679,0.8835341365461847,0.9087301587301587,0.25,0.25,0.25,224.0,220.0,229.0,5
780,0.9133858267716536,0.902127659574468,0.9330543933054394,0.25,0.25,0.25,223.0,212.0,224.0,5
836,0.9024390243902439,0.8811475409836066,0.9030837004405287,0.25,0.25,0.25,215.0,205.0,219.0,5
892,0.8734693877551021,0.868,0.9004329004329005,0.25,0.25,0.25,214.0,210.0,217.0,5
948,0.9038461538461539,0.9004329004329005,0.9061224489795918,0.25,0.25,0.25,222.0,214.0,228.0,5
1004,0.9130434782608695,0.8992248062015504,0.9186046511627907,0.25,0.25,0.25,231.0,230.0,232.0,5
1060,0.8790322580645161,0.8487394957983193,0.9020408163265307,0.25,0.25,0.25,218.0,206.0,221.0,5
1116,0.9357429718875502,0.897119341563786,0.948,0.25,0.25,0.25,233.0,218.0,237.0,5
1172,0.8781512605042017,0.8690476190476191,0.8924302788844621,0.25,0.25,0.25,213.0,210.0,219.0,5
1228,0.8902439024390244,0.8869565217391304,0.9090909090909091,0.25,0.25,0.25,219.0,219.0,220.0,5
1284,0.8861788617886179,0.8813559322033898,0.9180327868852459,0.25,0.25,0.25,219.0,218.0,224.0,5
1340,0.7888446215139442,0.7868217054263565,0.8708333333333333,0.25,0.25,0.25,203.0,198.0,209.0,5
1396,0.8784313725490196,0.850187265917603,0.8924302788844621,0.25,0.25,0.25,224.0,224.0,225.0,5
1452,0.8700787401574803,0.8605577689243028,0.9027237354085603,0.25,0.25,0.25,221.0,216.0,225.0,5
1508,0.8842975206611571,0.8523206751054853,0.895397489539749,0.25,0.25,0.25,214.0,202.0,214.0,5
1564,0.8995633187772926,0.8975409836065574,0.9098360655737705,0.25,0.25,0.25,219.0,206.0,222.0,5
1620,0.9037656903765691,0.852589641434263,0.9069767441860465,0.25,0.25,0.25,216.0,214.0,234.0,5
1676,0.9251968503937008,0.9035087719298246,0.9306122448979591,0.25,0.25,0.25,228.0,206.0,229.0,5
1732,0.8983050847457628,0.88,0.9033613445378151,0.25,0.25,0.25,215.0,212.0,220.0,5
1788,0.9137254901960784,0.8976377952755905,0.9193548387096774,0.25,0.25,0.25,228.0,228.0,233.0,5
1844,0.9065040650406504,0.9043824701195219,0.9065040650406504,0.25,0.25,0.25,223.0,223.0,225.0,5
1900,0.8672199170124482,0.8492063492063492,0.9037656903765691,0.25,0.25,0.25,214.0,209.0,216.0,5
1956,0.9102040816326531,0.9034749034749034,0.9196787148594378,0.25,0.25,0.25,229.0,223.0,234.0,5
2012,0.9087136929460581,0.875,0.9166666666666666,0.25,0.25,0.25,224.0,219.0,231.0,5
2068,0.8546255506607929,0.8340248962655602,0.8666666666666667,0.25,0.25,0.25,201.0,194.0,221.0,5
2124,0.9043478260869565,0.8949416342412452,0.9390243902439024,0.25,0.25,0.25,219.0,208.0,230.0,5
2180,0.8528138528138528,0.809322033898305,0.9218106995884774,0.25,0.25,0.25,197.0,193.0,224.0,5
2236,0.9137931034482759,0.895397489539749,0.9427480916030534,0.25,0.25,0.25,214.0,212.0,225.0,5
2292,0.8524590163934426,0.8502024291497976,0.8583333333333333,0.25,0.25,0.25,208.0,207.0,210.0,5
2348,0.9344262295081968,0.8930041152263375,0.9490196078431372,0.25,0.25,0.25,228.0,217.0,242.0,5
2404,0.8097165991902834,0.8089430894308943,0.8412698412698413,0.25,0.25,0.25,207.0,200.0,212.0,5
2460,0.9012875536480687,0.8740157480314961,0.9243027888446215,0.25,0.25,0.25,222.0,219.0,232.0,5
2516,0.8803418803418803,0.848605577689243,0.8901960784313725,0.25,0.25,0.25,213.0,212.0,213.0,5
2572,0.8905109489051095,0.8602620087336245,0.896,0.25,0.25,0.25,216.0,216.0,224.0,5
2628,0.884,0.88,0.8975409836065574,0.25,0.25,0.25,219.0,198.0,221.0,5
2684,0.8559322033898306,0.84,0.8565891472868217,0.25,0.25,0.25,210.0,202.0,221.0,5
2740,0.9121338912133892,0.9041666666666667,0.9173553719008265,0.25,0.25,0.25,218.0,217.0,222.0,5
2796,0.9156626506024096,0.8806584362139918,0.9203187250996016,0.25,0.25,0.25,228.0,217.0,231.0,5
2852,0.8888888888888888,0.8527131782945736,0.93359375,0.25,0.25,0.25,220.0,217.0,239.0,5
2908,0.8861788617886179,0.8489795918367347,0.8947368421052632,0.25,0.25,0.25,218.0,210.0,221.0,5
2964,0.8791666666666667,0.875,0.9108527131782945,0.25,0.25,0.25,213.0,211.0,235.0,5
