r,frac_med,frac_q1,frac_q3
0,0.006097560975609756,0.006097560975609756,0.006578947368421052
1,0.029573170731707316,0.028963414634146343,0.03125
2,0.060361842105263165,0.058993902439024394,0.06295731707317073
3,0.08902439024390243,0.08765243902439024,0.09325657894736843
4,0.12057926829268292,0.1173780487804878,0.1236842105263158
5,0.15030487804878048,0.14420731707317072,0.15148026315789473
6,0.17621951219512194,0.16981707317073172,0.1799342105263158
7,0.2035060975609756,0.1940548780487805,0.20641447368421054
8,0.23079268292682928,0.2173780487804878,0.23601973684210525
9,0.2551829268292683,0.24451219512195121,0.26480263157894735
10,0.2867378048780488,0.27012195121951216,0.2914473684210526
11,0.31585365853658537,0.2995426829268293,0.32105263157894737
12,0.3467987804878049,0.32926829268292684,0.3527960526315789
13,0.3794207317073171,0.3564024390243903,0.3860197368421052
14,0.40625,0.38125,0.41463815789473685
15,0.4329268292682927,0.40609756097560973,0.4421052631578948
16,0.46128048780487807,0.4301829268292683,0.46990131578947364
17,0.48887195121951216,0.45670731707317075,0.49884868421052636
18,0.5202743902439024,0.4876524390243902,0.5269736842105263
19,0.5509146341463415,0.5195121951219512,0.5555921052631579
20,0.58125,0.5509146341463415,0.5850328947368421
21,0.610060975609756,0.580640243902439,0.6164473684210526
22,0.6405487804878048,0.6077743902439025,0.6495065789473684
23,0.6739329268292683,0.6376524390243903,0.6856907894736842
24,0.7042682926829268,0.6679878048780488,0.7194078947368421
25,0.7381097560975609,0.7035060975609756,0.7542763157894737
26,0.7742378048780487,0.7413109756097561,0.7909539473684211
27,0.8155487804878049,0.7879573170731707,0.8312499999999999
28,0.8646341463414635,0.8432926829268294,0.8784539473684211
29,0.9240853658536586,0.9105182926829267,0.9291118421052631
30,0.9948170731707318,0.9863486842105263,0.9954268292682927
