r,frac_med,frac_q1,frac_q3
0,0.002320185614849188,0.0022727272727272726,0.002398081534772182
1,0.007482598607888631,0.007477678571428572,0.007613908872901678
2,0.01462829736211031,0.014037122969837586,0.014787946428571428
3,0.02266187050359712,0.022447795823665895,0.02393973214285714
4,0.03178654292343387,0.03141486810551559,0.03275669642857143
5,0.04196428571428572,0.0408273381294964,0.043271461716937354
6,0.051171875,0.050359712230215826,0.055336426914153136
7,0.06121103117505995,0.060825892857142856,0.06729368932038836
8,0.07326139088729017,0.07064732142857143,0.07779126213592233
9,0.08645083932853716,0.08191964285714286,0.0904126213592233
10,0.09910071942446044,0.09458705357142858,0.10321601941747573
11,0.11336930455635491,0.10920758928571428,0.11608009708737865
12,0.12817745803357314,0.12488839285714286,0.12942961165048544
13,0.14296875,0.1424150485436893,0.1435251798561151
14,0.1589328537170264,0.15691747572815534,0.1614955357142857
15,0.17476019184652278,0.17239077669902914,0.18041294642857145
16,0.1922661870503597,0.18980582524271844,0.19988839285714285
17,0.2103117505995204,0.20904126213592233,0.2216517857142857
18,0.2314748201438849,0.23009708737864076,0.24291294642857145
19,0.2541966426858513,0.2538228155339806,0.2662388392857143
20,0.2817146282973621,0.28021844660194173,0.28945312500000003
21,0.3095923261390887,0.30910194174757283,0.31322505800464034
22,0.3395011600928074,0.33859223300970875,0.3410071942446043
23,0.3726334951456311,0.36931554524361954,0.3751199040767386
24,0.4094053398058253,0.40185614849187934,0.4127098321342926
25,0.45042475728155335,0.4404292343387471,0.4568345323741007
26,0.4984830097087379,0.4879350348027843,0.5046875
27,0.5552184466019418,0.545707656612529,0.5623325892857143
28,0.6231189320388351,0.6187935034802784,0.6321986607142858
29,0.7116009280742459,0.7044296116504855,0.7220982142857143
30,0.825232018561485,0.8152840909090909,0.83984375
